"epoch","new_k10_org_svo2080_YJ_20231124T214720 - _step","new_k10_org_svo2080_YJ_20231124T214720 - _step__MIN","new_k10_org_svo2080_YJ_20231124T214720 - _step__MAX","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward__MIN","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward__MAX","new_k10_rel_svo2080_YJ_20231124T214648 - _step","new_k10_rel_svo2080_YJ_20231124T214648 - _step__MIN","new_k10_rel_svo2080_YJ_20231124T214648 - _step__MAX","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward__MIN","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward__MAX","new_k20_org_svo2080_YJ_20231124T214616 - _step","new_k20_org_svo2080_YJ_20231124T214616 - _step__MIN","new_k20_org_svo2080_YJ_20231124T214616 - _step__MAX","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward__MIN","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward__MAX","new_k20_rel_svo2080_YJ_20231124T214554 - _step","new_k20_rel_svo2080_YJ_20231124T214554 - _step__MIN","new_k20_rel_svo2080_YJ_20231124T214554 - _step__MAX","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward__MIN","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward__MAX","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step__MIN","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step__MAX","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward__MIN","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward__MAX","new_k3_rel_svo2080_YJ_20231124T165906 - _step","new_k3_rel_svo2080_YJ_20231124T165906 - _step__MIN","new_k3_rel_svo2080_YJ_20231124T165906 - _step__MAX","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward__MIN","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward__MAX","new_k3_org_svo2080_YJ_20231124T165906 - _step","new_k3_org_svo2080_YJ_20231124T165906 - _step__MIN","new_k3_org_svo2080_YJ_20231124T165906 - _step__MAX","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward__MIN","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"20","1070","1070","1070","4.1004486083984375","4.1004486083984375","4.1004486083984375","1070","1070","1070","3.9096171855926514","3.9096171855926514","3.9096171855926514","1070","1070","1070","4.120864391326904","4.120864391326904","4.120864391326904","1070","1070","1070","3.9433984756469727","3.9433984756469727","3.9433984756469727","1070","1070","1070","4.115298271179199","4.115298271179199","4.115298271179199","1070","1070","1070","4.169057369232178","4.169057369232178","4.169057369232178","1070","1070","1070","4.385255813598633","4.385255813598633","4.385255813598633","1070","1070","1070","4.42733097076416","4.42733097076416","4.42733097076416"
"21","1121","1121","1121","4.095576763153076","4.095576763153076","4.095576763153076","1121","1121","1121","3.9024875164031982","3.9024875164031982","3.9024875164031982","1121","1121","1121","4.109957218170166","4.109957218170166","4.109957218170166","1121","1121","1121","3.9257426261901855","3.9257426261901855","3.9257426261901855","1121","1121","1121","4.109610080718994","4.109610080718994","4.109610080718994","1121","1121","1121","4.152383804321289","4.152383804321289","4.152383804321289","1121","1121","1121","4.361123085021973","4.361123085021973","4.361123085021973","1121","1121","1121","4.422592639923096","4.422592639923096","4.422592639923096"
"22","1172","1172","1172","4.084726333618164","4.084726333618164","4.084726333618164","1172","1172","1172","3.912283182144165","3.912283182144165","3.912283182144165","1172","1172","1172","4.089682579040527","4.089682579040527","4.089682579040527","1172","1172","1172","3.929598808288574","3.929598808288574","3.929598808288574","1172","1172","1172","4.097161769866943","4.097161769866943","4.097161769866943","1172","1172","1172","4.14296817779541","4.14296817779541","4.14296817779541","1172","1172","1172","4.373322486877441","4.373322486877441","4.373322486877441","1172","1172","1172","4.423122882843018","4.423122882843018","4.423122882843018"
"23","1223","1223","1223","4.088779449462891","4.088779449462891","4.088779449462891","1223","1223","1223","3.9159698486328125","3.9159698486328125","3.9159698486328125","1223","1223","1223","4.098663806915283","4.098663806915283","4.098663806915283","1223","1223","1223","3.900362014770508","3.900362014770508","3.900362014770508","1223","1223","1223","4.087031841278076","4.087031841278076","4.087031841278076","1223","1223","1223","4.149875164031982","4.149875164031982","4.149875164031982","1223","1223","1223","4.357621192932129","4.357621192932129","4.357621192932129","1223","1223","1223","4.419968605041504","4.419968605041504","4.419968605041504"
"24","1274","1274","1274","4.070988178253174","4.070988178253174","4.070988178253174","1274","1274","1274","3.879546880722046","3.879546880722046","3.879546880722046","1274","1274","1274","4.080042362213135","4.080042362213135","4.080042362213135","1274","1274","1274","3.899151563644409","3.899151563644409","3.899151563644409","1274","1274","1274","4.082961082458496","4.082961082458496","4.082961082458496","1274","1274","1274","4.146193981170654","4.146193981170654","4.146193981170654","1274","1274","1274","4.363281726837158","4.363281726837158","4.363281726837158","1274","1274","1274","4.422436714172363","4.422436714172363","4.422436714172363"
"25","1325","1325","1325","4.068356990814209","4.068356990814209","4.068356990814209","1325","1325","1325","3.876802444458008","3.876802444458008","3.876802444458008","1325","1325","1325","4.078619956970215","4.078619956970215","4.078619956970215","1325","1325","1325","3.907870292663574","3.907870292663574","3.907870292663574","1325","1325","1325","4.082373142242432","4.082373142242432","4.082373142242432","1325","1325","1325","4.13608455657959","4.13608455657959","4.13608455657959","1325","1325","1325","4.347231864929199","4.347231864929199","4.347231864929199","1325","1325","1325","4.413066387176514","4.413066387176514","4.413066387176514"
"26","1376","1376","1376","4.0793538093566895","4.0793538093566895","4.0793538093566895","1376","1376","1376","3.8685495853424072","3.8685495853424072","3.8685495853424072","1376","1376","1376","4.07064962387085","4.07064962387085","4.07064962387085","1376","1376","1376","3.904752731323242","3.904752731323242","3.904752731323242","1376","1376","1376","4.0495781898498535","4.0495781898498535","4.0495781898498535","1376","1376","1376","4.130136489868164","4.130136489868164","4.130136489868164","1376","1376","1376","4.347894191741943","4.347894191741943","4.347894191741943","1376","1376","1376","4.41204309463501","4.41204309463501","4.41204309463501"
"27","1427","1427","1427","4.067485332489014","4.067485332489014","4.067485332489014","1427","1427","1427","3.879642963409424","3.879642963409424","3.879642963409424","1427","1427","1427","4.061258792877197","4.061258792877197","4.061258792877197","1427","1427","1427","3.890683174133301","3.890683174133301","3.890683174133301","1427","1427","1427","4.056186199188232","4.056186199188232","4.056186199188232","1427","1427","1427","4.124449729919434","4.124449729919434","4.124449729919434","1427","1427","1427","4.335320472717285","4.335320472717285","4.335320472717285","1427","1427","1427","4.421401500701904","4.421401500701904","4.421401500701904"
"28","1478","1478","1478","4.061099052429199","4.061099052429199","4.061099052429199","1478","1478","1478","3.868642568588257","3.868642568588257","3.868642568588257","1478","1478","1478","4.053992748260498","4.053992748260498","4.053992748260498","1478","1478","1478","3.8756401538848877","3.8756401538848877","3.8756401538848877","1478","1478","1478","4.037019729614258","4.037019729614258","4.037019729614258","1478","1478","1478","4.131647109985352","4.131647109985352","4.131647109985352","1478","1478","1478","4.344527244567871","4.344527244567871","4.344527244567871","1478","1478","1478","4.407485008239746","4.407485008239746","4.407485008239746"
"29","1529","1529","1529","4.052551746368408","4.052551746368408","4.052551746368408","1529","1529","1529","3.8689796924591064","3.8689796924591064","3.8689796924591064","1529","1529","1529","4.0332255363464355","4.0332255363464355","4.0332255363464355","1529","1529","1529","3.8655600547790527","3.8655600547790527","3.8655600547790527","1529","1529","1529","4.018523216247559","4.018523216247559","4.018523216247559","1529","1529","1529","4.115666389465332","4.115666389465332","4.115666389465332","1529","1529","1529","4.351717948913574","4.351717948913574","4.351717948913574","1529","1529","1529","4.40581750869751","4.40581750869751","4.40581750869751"
