"epoch","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MAX","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MAX","E_org_svo2080_YJ_20231125T172437 - _step","E_org_svo2080_YJ_20231125T172437 - _step__MIN","E_org_svo2080_YJ_20231125T172437 - _step__MAX","E_org_svo2080_YJ_20231125T172437 - val_avg_reward","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MIN","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MAX","E_rel_svo2080_YJ_20231125T172153 - _step","E_rel_svo2080_YJ_20231125T172153 - _step__MIN","E_rel_svo2080_YJ_20231125T172153 - _step__MAX","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MIN","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"24","1274","1274","1274","3.672220230102539","3.672220230102539","3.672220230102539","1274","1274","1274","3.8058972358703613","3.8058972358703613","3.8058972358703613","1274","1274","1274","3.7646729946136475","3.7646729946136475","3.7646729946136475","1274","1274","1274","3.8104190826416016","3.8104190826416016","3.8104190826416016","1274","1274","1274","4.422436714172363","4.422436714172363","4.422436714172363"
"25","1325","1325","1325","3.6648499965667725","3.6648499965667725","3.6648499965667725","1325","1325","1325","3.7986137866973877","3.7986137866973877","3.7986137866973877","1325","1325","1325","3.766028881072998","3.766028881072998","3.766028881072998","1325","1325","1325","3.830203056335449","3.830203056335449","3.830203056335449","1325","1325","1325","4.413066387176514","4.413066387176514","4.413066387176514"
"26","1376","1376","1376","3.670703411102295","3.670703411102295","3.670703411102295","1376","1376","1376","3.799309492111206","3.799309492111206","3.799309492111206","1376","1376","1376","3.7556679248809814","3.7556679248809814","3.7556679248809814","1376","1376","1376","3.792717218399048","3.792717218399048","3.792717218399048","1376","1376","1376","4.41204309463501","4.41204309463501","4.41204309463501"
"27","1427","1427","1427","3.6684272289276123","3.6684272289276123","3.6684272289276123","1427","1427","1427","3.77941632270813","3.77941632270813","3.77941632270813","1427","1427","1427","3.7412495613098145","3.7412495613098145","3.7412495613098145","1427","1427","1427","3.8105885982513428","3.8105885982513428","3.8105885982513428","1427","1427","1427","4.421401500701904","4.421401500701904","4.421401500701904"
"28","1478","1478","1478","3.651876449584961","3.651876449584961","3.651876449584961","1478","1478","1478","3.7941436767578125","3.7941436767578125","3.7941436767578125","1478","1478","1478","3.7518362998962402","3.7518362998962402","3.7518362998962402","1478","1478","1478","3.796483278274536","3.796483278274536","3.796483278274536","1478","1478","1478","4.407485008239746","4.407485008239746","4.407485008239746"
"29","1529","1529","1529","3.6504828929901123","3.6504828929901123","3.6504828929901123","1529","1529","1529","3.7662532329559326","3.7662532329559326","3.7662532329559326","1529","1529","1529","3.737792491912842","3.737792491912842","3.737792491912842","1529","1529","1529","3.79402494430542","3.79402494430542","3.79402494430542","1529","1529","1529","4.40581750869751","4.40581750869751","4.40581750869751"
"30","1580","1580","1580","3.644388198852539","3.644388198852539","3.644388198852539","1580","1580","1580","3.7747743129730225","3.7747743129730225","3.7747743129730225","1580","1580","1580","3.739809274673462","3.739809274673462","3.739809274673462","1580","1580","1580","3.789618730545044","3.789618730545044","3.789618730545044","1580","1580","1580","4.4160943031311035","4.4160943031311035","4.4160943031311035"
"31","1631","1631","1631","3.650916814804077","3.650916814804077","3.650916814804077","1631","1631","1631","3.762789011001587","3.762789011001587","3.762789011001587","1631","1631","1631","3.7364237308502197","3.7364237308502197","3.7364237308502197","1631","1631","1631","3.783648729324341","3.783648729324341","3.783648729324341","1631","1631","1631","4.403533458709717","4.403533458709717","4.403533458709717"
"32","1682","1682","1682","3.6360020637512207","3.6360020637512207","3.6360020637512207","1682","1682","1682","3.7581005096435547","3.7581005096435547","3.7581005096435547","1682","1682","1682","3.729943037033081","3.729943037033081","3.729943037033081","1682","1682","1682","3.774923324584961","3.774923324584961","3.774923324584961","1682","1682","1682","4.403522968292236","4.403522968292236","4.403522968292236"
"33","1733","1733","1733","3.636869430541992","3.636869430541992","3.636869430541992","1733","1733","1733","3.762667179107666","3.762667179107666","3.762667179107666","1733","1733","1733","3.7337868213653564","3.7337868213653564","3.7337868213653564","1733","1733","1733","3.77406644821167","3.77406644821167","3.77406644821167","1733","1733","1733","4.408725738525391","4.408725738525391","4.408725738525391"
"34","1784","1784","1784","3.6358389854431152","3.6358389854431152","3.6358389854431152","1784","1784","1784","3.762503147125244","3.762503147125244","3.762503147125244","1784","1784","1784","3.7327117919921875","3.7327117919921875","3.7327117919921875","1784","1784","1784","3.7607507705688477","3.7607507705688477","3.7607507705688477","1784","1784","1784","4.41570520401001","4.41570520401001","4.41570520401001"
"35","1835","1835","1835","3.642148733139038","3.642148733139038","3.642148733139038","1835","1835","1835","3.762429714202881","3.762429714202881","3.762429714202881","1835","1835","1835","3.7457265853881836","3.7457265853881836","3.7457265853881836","1835","1835","1835","3.7683675289154053","3.7683675289154053","3.7683675289154053","1835","1835","1835","4.420130252838135","4.420130252838135","4.420130252838135"
"36","1886","1886","1886","3.634824275970459","3.634824275970459","3.634824275970459","1886","1886","1886","3.753208875656128","3.753208875656128","3.753208875656128","1886","1886","1886","3.717421054840088","3.717421054840088","3.717421054840088","1886","1886","1886","3.765571117401123","3.765571117401123","3.765571117401123","1886","1886","1886","4.410670280456543","4.410670280456543","4.410670280456543"
"37","1937","1937","1937","3.6183249950408936","3.6183249950408936","3.6183249950408936","1937","1937","1937","3.7464659214019775","3.7464659214019775","3.7464659214019775","1937","1937","1937","3.7124547958374023","3.7124547958374023","3.7124547958374023","1937","1937","1937","3.769908905029297","3.769908905029297","3.769908905029297","1937","1937","1937","4.398773670196533","4.398773670196533","4.398773670196533"
