"epoch","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MAX","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MAX","E_rel_svoA5k_YJ_20231125T173135 - _step","E_rel_svoA5k_YJ_20231125T173135 - _step__MIN","E_rel_svoA5k_YJ_20231125T173135 - _step__MAX","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MIN","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MAX","E_org_svoA5k_YJ_20231125T173038 - _step","E_org_svoA5k_YJ_20231125T173038 - _step__MIN","E_org_svoA5k_YJ_20231125T173038 - _step__MAX","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MIN","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MAX","k0_rel_svoA5k_YJ_20231123T021820 - _step","k0_rel_svoA5k_YJ_20231123T021820 - _step__MIN","k0_rel_svoA5k_YJ_20231123T021820 - _step__MAX","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MIN","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MAX"
"31","1631","1631","1631","9.054448127746582","9.054448127746582","9.054448127746582","1631","1631","1631","9.377366065979004","9.377366065979004","9.377366065979004","1631","1631","1631","9.238560676574707","9.238560676574707","9.238560676574707","1631","1631","1631","9.237493515014648","9.237493515014648","9.237493515014648","1631","1631","1631","9.51499080657959","9.51499080657959","9.51499080657959"
"32","1682","1682","1682","9.087425231933594","9.087425231933594","9.087425231933594","1682","1682","1682","9.303854942321777","9.303854942321777","9.303854942321777","1682","1682","1682","9.242951393127441","9.242951393127441","9.242951393127441","1682","1682","1682","9.156825065612793","9.156825065612793","9.156825065612793","1682","1682","1682","9.542730331420898","9.542730331420898","9.542730331420898"
"33","1733","1733","1733","9.07099723815918","9.07099723815918","9.07099723815918","1733","1733","1733","9.343700408935547","9.343700408935547","9.343700408935547","1733","1733","1733","9.22439193725586","9.22439193725586","9.22439193725586","1733","1733","1733","9.163573265075684","9.163573265075684","9.163573265075684","1733","1733","1733","9.507594108581543","9.507594108581543","9.507594108581543"
"34","1784","1784","1784","9.048710823059082","9.048710823059082","9.048710823059082","1784","1784","1784","9.348298072814941","9.348298072814941","9.348298072814941","1784","1784","1784","9.203231811523438","9.203231811523438","9.203231811523438","1784","1784","1784","9.15954875946045","9.15954875946045","9.15954875946045","1784","1784","1784","9.527606964111328","9.527606964111328","9.527606964111328"
"35","1835","1835","1835","9.044538497924805","9.044538497924805","9.044538497924805","1835","1835","1835","9.326828956604004","9.326828956604004","9.326828956604004","1835","1835","1835","9.185397148132324","9.185397148132324","9.185397148132324","1835","1835","1835","9.126718521118164","9.126718521118164","9.126718521118164","1835","1835","1835","9.513925552368164","9.513925552368164","9.513925552368164"
"36","1886","1886","1886","9.029069900512695","9.029069900512695","9.029069900512695","1886","1886","1886","9.267325401306152","9.267325401306152","9.267325401306152","1886","1886","1886","9.181622505187988","9.181622505187988","9.181622505187988","1886","1886","1886","9.086799621582031","9.086799621582031","9.086799621582031","1886","1886","1886","9.491183280944824","9.491183280944824","9.491183280944824"
"37","1937","1937","1937","9.017485618591309","9.017485618591309","9.017485618591309","1937","1937","1937","9.29989242553711","9.29989242553711","9.29989242553711","1937","1937","1937","9.120330810546875","9.120330810546875","9.120330810546875","1937","1937","1937","9.077927589416504","9.077927589416504","9.077927589416504","1937","1937","1937","9.49209213256836","9.49209213256836","9.49209213256836"
"38","1988","1988","1988","9.012053489685059","9.012053489685059","9.012053489685059","1988","1988","1988","9.289417266845703","9.289417266845703","9.289417266845703","1988","1988","1988","9.190232276916504","9.190232276916504","9.190232276916504","1988","1988","1988","9.106385231018066","9.106385231018066","9.106385231018066","1988","1988","1988","9.508987426757812","9.508987426757812","9.508987426757812"
"39","2039","2039","2039","9.024415969848633","9.024415969848633","9.024415969848633","2039","2039","2039","9.28580379486084","9.28580379486084","9.28580379486084","2039","2039","2039","9.147346496582031","9.147346496582031","9.147346496582031","2039","2039","2039","9.047547340393066","9.047547340393066","9.047547340393066","2039","2039","2039","9.48740005493164","9.48740005493164","9.48740005493164"
"40","2090","2090","2090","9.033487319946289","9.033487319946289","9.033487319946289","2090","2090","2090","9.27449893951416","9.27449893951416","9.27449893951416","2090","2090","2090","9.115456581115723","9.115456581115723","9.115456581115723","2090","2090","2090","9.0490083694458","9.0490083694458","9.0490083694458","2090","2090","2090","9.481782913208008","9.481782913208008","9.481782913208008"
